file_path,sec,len,cnt
results/deeplll05/svpchallengedim40seed3dim25delta1.txt,194.868,1338,12862
results/deeplll05/svpchallengedim40seed3dim30delta0.98999995.txt,259.234,1314,12691
results/deeplll05/svpchallengedim40seed3dim30delta1.txt,263.896,1338,12887
results/deeplll05/svpchallengedim40seed3dim35delta0.98999995.txt,360.382,1314,12716
results/deeplll05/svpchallengedim40seed3dim35delta1.txt,367.286,1338,12912
results/deeplll05/svpchallengedim40seed3dim40delta0.98999995.txt,452.934,1314,12741
results/deeplll05/svpchallengedim40seed3dim40delta1.txt,464.955,1338,12937
results/deeplll05/svpchallengedim40seed4dim10delta0.98999995.txt,16.289,870,6866
results/deeplll05/svpchallengedim40seed4dim10delta1.txt,17.007,905,7142
results/deeplll05/svpchallengedim40seed4dim15delta0.98999995.txt,80.641,1340,12986
results/deeplll05/svpchallengedim40seed4dim15delta1.txt,90.8,1475,14566
results/deeplll05/svpchallengedim40seed4dim20delta0.98999995.txt,136.993,1340,13011
results/deeplll05/svpchallengedim40seed4dim20delta1.txt,162.459,1475,14591
results/deeplll05/svpchallengedim40seed4dim25delta0.98999995.txt,202.77,1340,13036
results/deeplll05/svpchallengedim40seed4dim25delta1.txt,235.219,1475,14616
results/deeplll05/svpchallengedim40seed4dim30delta0.98999995.txt,274.585,1340,13061
results/deeplll05/svpchallengedim40seed4dim30delta1.txt,318.28,1475,14641
results/deeplll05/svpchallengedim40seed4dim35delta0.98999995.txt,388.169,1340,13086
results/deeplll05/svpchallengedim40seed4dim35delta1.txt,453.117,1475,14666
results/deeplll05/svpchallengedim40seed4dim40delta0.98999995.txt,503.209,1340,13111
results/deeplll05/svpchallengedim40seed4dim40delta1.txt,575.908,1475,14691
results/deeplll10/ndim10seed0cnt1000dim10delta0.98999995.txt,3.9,486,6316
results/deeplll10/ndim10seed0cnt1000dim10delta1.txt,4.18,517,6613
results/deeplll10/ndim10seed1cnt1000dim10delta0.98999995.txt,4.12,507,6723
results/deeplll10/ndim10seed1cnt1000dim10delta1.txt,4.26,540,7145
results/deeplll10/ndim10seed2cnt1000dim10delta0.98999995.txt,3.515,457,6255
results/deeplll10/ndim10seed2cnt1000dim10delta1.txt,3.566,470,6318
results/deeplll10/ndim10seed3cnt1000dim10delta0.98999995.txt,3.312,432,5833
results/deeplll10/ndim10seed3cnt1000dim10delta1.txt,3.446,451,5986
results/deeplll10/ndim10seed4cnt1000dim10delta0.98999995.txt,4.596,521,6926
results/deeplll10/ndim10seed4cnt1000dim10delta1.txt,4.814,561,7328
results/deeplll10/ndim15seed0cnt1000dim15delta0.98999995.txt,32.704,1241,25549
results/deeplll10/ndim15seed0cnt1000dim15delta1.txt,34.043,1307,26299
results/deeplll10/ndim15seed1cnt1000dim15delta0.98999995.txt,32.632,1304,26668
results/deeplll10/ndim15seed1cnt1000dim15delta1.txt,35.126,1441,29658
results/deeplll10/ndim15seed2cnt1000dim15delta0.98999995.txt,35.515,1305,27680
results/deeplll10/ndim15seed2cnt1000dim15delta1.txt,36.512,1386,28323
results/deeplll10/ndim15seed3cnt1000dim15delta0.98999995.txt,39.827,1487,30990
results/deeplll10/ndim15seed3cnt1000dim15delta1.txt,36.991,1239,24264
results/deeplll10/ndim15seed4cnt1000dim15delta0.98999995.txt,25.635,804,14955
results/deeplll10/ndim15seed4cnt1000dim15delta1.txt,30.549,1163,22497
results/deeplll10/ndim20seed0cnt1000dim20delta0.98999995.txt,99.931,956,20608
results/deeplll10/ndim20seed0cnt1000dim20delta1.txt,133.598,1495,33886
results/deeplll10/ndim20seed1cnt1000dim20delta0.98999995.txt,131.365,1435,32221
results/deeplll10/ndim20seed1cnt1000dim20delta1.txt,134.576,1464,31886
results/deeplll10/ndim20seed2cnt1000dim20delta0.98999995.txt,131.034,1323,29217
results/deeplll10/ndim20seed2cnt1000dim20delta1.txt,149.027,1588,34413
results/deeplll10/ndim20seed3cnt1000dim20delta0.98999995.txt,111.766,1337,31095
results/deeplll10/ndim20seed3cnt1000dim20delta1.txt,107.831,1250,27005
results/deeplll10/ndim20seed4cnt1000dim20delta0.98999995.txt,111.855,1219,26254
results/deeplll10/ndim20seed4cnt1000dim20delta1.txt,132.981,1506,33090
results/deeplll10/ndim25seed0cnt1000dim25delta0.98999995.txt,178.815,666,14447
results/deeplll10/ndim25seed0cnt1000dim25delta1.txt,180.098,705,15243
results/deeplll10/ndim25seed1cnt1000dim25delta0.98999995.txt,255.159,1085,26739
results/deeplll10/ndim25seed1cnt1000dim25delta1.txt,201.671,764,16926
results/deeplll10/ndim25seed2cnt1000dim25delta0.98999995.txt,232.665,963,23048
results/deeplll10/ndim25seed2cnt1000dim25delta1.txt,263.462,1191,28565
results/deeplll10/ndim25seed3cnt1000dim25delta0.98999995.txt,204.559,861,20182
results/deeplll10/ndim25seed3cnt1000dim25delta1.txt,207.526,850,19494
results/deeplll10/ndim25seed4cnt1000dim25delta0.98999995.txt,160.647,607,12765
results/deeplll10/ndim25seed4cnt1000dim25delta1.txt,284.05,1234,28818
results/deeplll10/ndim30seed0cnt1000dim30delta0.98999995.txt,255.518,514,11378
results/deeplll10/ndim30seed0cnt1000dim30delta1.txt,409.049,868,19604
results/deeplll10/ndim30seed1cnt1000dim30delta0.98999995.txt,269.251,593,13784
results/deeplll10/ndim30seed1cnt1000dim30delta1.txt,358.003,828,19550
results/deeplll10/ndim30seed2cnt1000dim30delta0.98999995.txt,382.582,820,19997
results/deeplll10/ndim30seed2cnt1000dim30delta1.txt,296.132,568,12717
results/deeplll10/ndim30seed3cnt1000dim30delta0.98999995.txt,303.31,592,13751
results/deeplll10/ndim30seed3cnt1000dim30delta1.txt,415.554,817,18808
results/deeplll10/ndim30seed4cnt1000dim30delta0.98999995.txt,318.098,662,14730
results/deeplll10/ndim30seed4cnt1000dim30delta1.txt,375.814,780,17644
results/deeplll10/ndim35seed0cnt1000dim35delta0.98999995.txt,391.331,426,9874
results/deeplll10/ndim35seed0cnt1000dim35delta1.txt,456.301,498,11450
results/deeplll10/ndim35seed1cnt1000dim35delta0.98999995.txt,462.637,554,13255
results/deeplll10/ndim35seed1cnt1000dim35delta1.txt,492.395,567,13055
results/deeplll10/ndim35seed2cnt1000dim35delta0.98999995.txt,479.872,612,15305
results/deeplll10/ndim35seed2cnt1000dim35delta1.txt,361.563,442,11062
results/deeplll10/ndim35seed3cnt1000dim35delta0.98999995.txt,413.458,489,12172
results/deeplll10/ndim35seed3cnt1000dim35delta1.txt,459.478,551,13568
results/deeplll10/ndim35seed4cnt1000dim35delta0.98999995.txt,465.05,545,12421
results/deeplll10/ndim35seed4cnt1000dim35delta1.txt,525.681,614,14296
results/deeplll10/ndim40seed0cnt1000dim40delta0.98999995.txt,522.556,387,9850
results/deeplll10/ndim40seed0cnt1000dim40delta1.txt,543.426,407,10013
results/deeplll10/ndim40seed1cnt1000dim40delta0.98999995.txt,431.243,317,7263
results/deeplll10/ndim40seed1cnt1000dim40delta1.txt,501.577,365,8590
results/deeplll10/ndim40seed2cnt1000dim40delta0.98999995.txt,573.153,424,10435
results/deeplll10/ndim40seed2cnt1000dim40delta1.txt,658.486,492,12023
results/deeplll10/ndim40seed3cnt1000dim40delta0.98999995.txt,416.54,297,7359
results/deeplll10/ndim40seed3cnt1000dim40delta1.txt,585.456,445,10589
results/deeplll10/ndim40seed4cnt1000dim40delta0.98999995.txt,518.343,397,9448
results/deeplll10/ndim40seed4cnt1000dim40delta1.txt,565.315,450,10597
